#SampleID,BarcodeSequence,LinkerPrimer,Nucleotide,Fraction ,Lifestage,Generalgutregion,Specificgutregion,Sex
Amid7,,,DNA,,adult,Midgut,Adult midgut,male
Amid12,,,DNA,,adult,Midgut,Adult midgut,male
Amid39,,,DNA,,adult,Midgut,Adult midgut,female
Amid40,,,DNA,,adult,Midgut,Adult midgut,male
Amid41,,,DNA,,adult,Midgut,Adult midgut,male
Amid46,,,DNA,,adult,Midgut,Adult midgut,male
Amid48,,,DNA,,adult,Midgut,Adult midgut,female
Amid49,,,DNA,,adult,Midgut,Adult midgut,female
hind4,,,DNA,,adult,Hindgut,Adult hindgut,female
hind7,,,DNA,,adult,Hindgut,Adult hindgut,male
hind12,,,DNA,,adult,Hindgut,Adult hindgut,male
hind39,,,DNA,,adult,Hindgut,Adult hindgut,female
hind40,,,DNA,,adult,Hindgut,Adult hindgut,male
hind41,,,DNA,,adult,Hindgut,Adult hindgut,male
hind46,,,DNA,,adult,Hindgut,Adult hindgut,female
hind48,,,DNA,,adult,Hindgut,Adult hindgut,female
hind49,,,DNA,,adult,Hindgut,Adult hindgut,female
Ileum2,,,DNA,,larva,Hindgut,Larval ileum,
Ileum3,,,DNA,,larva,Hindgut,Larval ileum,
Ileum5,,,DNA,,larva,Hindgut,Larval ileum,
Ileum7,,,DNA,,larva,Hindgut,Larval ileum,
Ileum9,,,DNA,,larva,Hindgut,Larval ileum,
Ileum12,,,DNA,,larva,Hindgut,Larval ileum,
Ileum17,,,DNA,,larva,Hindgut,Larval ileum,
Ileum18,,,DNA,,larva,Hindgut,Larval ileum,
Ileum19,,,DNA,,larva,Hindgut,Larval ileum,
Ileum20,,,DNA,,larva,Hindgut,Larval ileum,
Ileum21,,,DNA,,larva,Hindgut,Larval ileum,
Lmid2,,,DNA,,larva,Midgut,Larval midgut,
Lmid3,,,DNA,,larva,Midgut,Larval midgut,
Lmid5,,,DNA,,larva,Midgut,Larval midgut,
Lmid9,,,DNA,,larva,Midgut,Larval midgut,
Lmid19,,,DNA,,larva,Midgut,Larval midgut,
Paunch2,,,DNA,,larva,Hindgut,Larval paunch,
Paunch3,,,DNA,,larva,Hindgut,Larval paunch,
Paunch5,,,DNA,,larva,Hindgut,Larval paunch,
Paunch9,,,DNA,,larva,Hindgut,Larval paunch,
Paunch12,,,DNA,,larva,Hindgut,Larval paunch,
Paunch17,,,DNA,,larva,Hindgut,Larval paunch,
Paunch18,,,DNA,,larva,Hindgut,Larval paunch,
Paunch19,,,DNA,,larva,Hindgut,Larval paunch,
Paunch20,,,DNA,,larva,Hindgut,Larval paunch,
Paunch21,,,DNA,,larva,Hindgut,Larval paunch,
Unfedfemale1hind,,,DNA,,adult,Hindgut,Adult hindgut,female
Unfedfemale1mid,,,DNA,,adult,Midgut,Adult midgut,female
UnfedFemale1Mid,,,DNA,,adult,Midgut,Adult midgut,female
UnfedFemale2hind,,,DNA,,adult,Hindgut,Adult hindgut,female
UnfedMale1hind,,,DNA,,adult,Hindgut,Adult hindgut,male
UnfedMale1Mid,,,DNA,,adult,Hindgut,Adult midgut,male